"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
WORLD,,900,World,0,2536431.02,2584034.23,2630861.69,2677609.06,2724846.75,2773019.92,2822443.25,2873306.06,2925686.68,2979576.15,3034949.72,3091843.51,3150420.76,3211000.95,3273978.27,3339583.51,3407922.63,3478770.1,3551599.44,3625680.97,3700437.04,3775760.03,3851650.59,3927780.52,4003794.18,4079480.47,4154666.83,4229505.92,4304533.6,4380506.19,4458003.47,4536996.62,4617386.53,4699569.19,4784011.52,4870921.67,4960568,5052522,5145425.99,5237441.43,5327231.04,5414289.38,5498919.89,5581597.6,5663150.43,5744212.93,5824891.93,5905045.65,5984794.08,6064239.03,6143493.81,6222626.53,6301773.17,6381185.14,6461159.39,6541906.96,6623517.92,6705946.64,6789088.67,6872766.99,6956823.59,7041194.17,7125827.96,7210582.04,7295290.76,7379796.97,7464021.93,7547858.9,7631091.11,7713468.21,7794798.73
More developed regions,b,901,Development Group,1803,814818.91,824003.51,833720.17,843787.54,854060.46,864429.51,874823.54,885207.01,895575.9,905949.17,916344.41,926751.85,937111.48,947303.4,957175.4,966624.19,975584.91,984097.41,992293.27,1000365.65,1008451.91,1016600.69,1024762.96,1032860.71,1040773.52,1048416.23,1055773.87,1062884.62,1069781.2,1076514.38,1083125.6,1089607.26,1095957.01,1102226.77,1108482.39,1114763,1121097.64,1127452.52,1133726.57,1139778.9,1145507.68,1150893.43,1155966.4,1160737,1165231.55,1169481.47,1173489.82,1177284.07,1180954.36,1184615.56,1188359.41,1192204.36,1196155.66,1200271.25,1204613.39,1209215.04,1214107.11,1219250.49,1224518.3,1229735.18,1234767.52,1239557.45,1244114.53,1248453.53,1252615.11,1256622.19,1260478.67,1264146.38,1267558.9,1270630.32,1273304.26
Less developed regions,c,902,Development Group,1803,1721612.11,1760030.72,1797141.52,1833821.52,1870786.3,1908590.4,1947619.71,1988099.05,2030110.78,2073626.98,2118605.3,2165091.66,2213309.28,2263697.55,2316802.87,2372959.32,2432337.72,2494672.7,2559306.17,2625315.32,2691985.13,2759159.34,2826887.63,2894919.81,2963020.66,3031064.25,3098892.96,3166621.3,3234752.4,3303991.81,3374877.87,3447389.36,3521429.51,3597342.42,3675529.13,3756158.66,3839470.36,3925069.48,4011699.43,4097662.53,4181723.36,4263395.95,4342953.49,4420860.6,4497918.88,4574731.46,4651402.11,4727761.58,4803839.72,4879623.47,4955134.4,5030422.17,5105617.52,5180913.89,5256546,5332691.92,5409410.8,5486696.16,5564570.37,5643031.81,5722056.07,5801636.72,5881713.43,5962128.51,6042675.65,6123174.78,6203543.27,6283712.52,6363532.21,6442837.89,6521494.47
Least developed countries,d,941,Development Group,902,195427.79,199180.39,203015.2,206985.64,211133.08,215486.29,220061.42,224862.26,229882,235105.73,240518.4,246113.62,251900.66,257908.04,264174.08,270720.94,277573.1,284708.61,292046,299473.69,306916.9,314345.05,321797.95,329357.73,337142.88,345242.74,353691.45,362475.16,371577.36,380963.36,390612.54,400528.97,410740.62,421279.18,432185.31,443491.3,455193.68,467290.49,479814.03,492803.04,506275.63,520262.44,534731,549559.28,564581.12,579681.7,594801.27,609983.28,625342.13,641046.83,657215.85,673903.09,691061.43,708587.94,726331.17,744190.51,762132.5,780219.57,798563.43,817322.62,836614.84,856471.44,876867.23,897793.44,919222.96,941131.32,963519.72,986385.4,1009691.25,1033388.87,1057438.16
"Less developed regions, excluding least developed countries",e,934,Development Group,902,1526184.32,1560850.33,1594126.32,1626835.88,1659653.21,1693104.11,1727558.29,1763236.79,1800228.78,1838521.25,1878086.91,1918978.04,1961408.63,2005789.51,2052628.8,2102238.38,2154764.62,2209964.09,2267260.17,2325841.62,2385068.23,2444814.29,2505089.68,2565562.08,2625877.78,2685821.51,2745201.51,2804146.14,2863175.04,2923028.45,2984265.32,3046860.39,3110688.89,3176063.25,3243343.82,3312667.37,3384276.68,3457778.99,3531885.4,3604859.49,3675447.74,3743133.52,3808222.49,3871301.33,3933337.76,3995049.75,4056600.84,4117778.29,4178497.59,4238576.64,4297918.55,4356519.08,4414556.08,4472325.95,4530214.83,4588501.41,4647278.3,4706476.58,4766006.95,4825709.19,4885441.23,4945165.28,5004846.19,5064335.07,5123452.69,5182043.46,5240023.55,5297327.12,5353840.96,5409449.02,5464056.31
"Less developed regions, excluding China",,948,Development Group,1803,1157420.01,1179932.72,1203962.86,1229440.19,1256302.72,1284496.76,1313976.62,1344705.09,1376652.12,1409793.64,1444107.26,1479568.16,1516144.76,1553797.45,1592482.97,1632168.75,1672841.76,1714499.92,1757138.52,1800757.6,1845364.17,1890969.13,1937592.56,1985264.48,2034022.58,2083907.84,2134887.4,2186987.57,2240373.27,2295259.34,2351776.35,2409960.36,2469693.82,2530756.16,2592840.95,2655695.39,2719227.05,2783394.37,2848054.68,2913059.66,2978289.41,3043665.94,3109147.05,3174700.31,3240314,3305985.14,3371697.98,3437455.98,3503309.24,3569329.16,3635583,3702081,3768852.38,3836005.74,3903674.97,3971957.38,4040882.43,4110430.52,4180584.76,4251306.81,4322553.37,4394312.9,4466549.24,4539157.45,4612004.83,4684981.35,4758019.35,4831087.29,4904154.6,4977203.71,5050207.59
Land-locked Developing Countries (LLDC),f,1636,Special other,1803,103803.46,105870.28,108079.45,110422.98,112894.29,115488.18,118201,121030.35,123975.28,127035.5,130210.23,133497.25,136891.36,140384.28,143965.75,147627.74,151360.24,155160.83,159036.62,162999.63,167054.85,171216.12,175471.52,179770.32,184044.36,188250.85,192374.93,196449.66,200540.07,204737.16,209112.91,213677.2,218427.92,223408.83,228668.6,234235.22,240137.15,246350.67,252785.9,259316.87,265852,272365.93,278882.18,285419.54,292014.3,298698.48,305470.57,312333.92,319332.73,326523.08,333947.03,341630.36,349570.84,357748.06,366126.84,374684.86,383416.64,392342.49,401496.61,410925.25,420661.37,430709.34,441057.03,451698.91,462623.55,473816.86,485276.86,496988.25,508906.04,520972.69,533143.4
Small Island Developing States (SIDS),g,1637,Special other,1803,23771.12,24209.07,24684.57,25187.41,25710.39,26248.78,26800.68,27366.95,27950.62,28556.33,29188.02,29846.56,30527.7,31221.32,31913.9,32595.49,33261.21,33913.41,34558.78,35207.91,35868.05,36542.23,37226.95,37914.76,38594.83,39260.21,39907.81,40542.25,41172.75,41812.56,42471.24,43152.23,43853.05,44570.24,45297.83,46031.7,46770.06,47514.4,48266.85,49030.67,49807.71,50597.74,51398.05,52203.2,53006.51,53802.26,54591.59,55374.39,56144.07,56891.88,57613.59,58302.16,58963.24,59620.69,60307.2,61044.55,61843.01,62691.34,63564.9,64427.57,65253.14,66034.53,66778.72,67490.68,68180.36,68855.52,69514.96,70157.52,70791.84,71428.83,72076.1
High-income countries,h,1503,Income Group,1802,694989.11,703003.78,711533.76,720435.91,729595.89,738928.61,748379.09,757921.34,767554.3,777294.98,787158.23,797134.75,807172.37,817167.61,826989.22,836545.33,845778.99,854716.25,863451.96,872128.52,880845.62,889638.93,898464.75,907248.7,915880.23,924282.55,932435.63,940374.53,948144.31,955812.42,963431.38,971015.17,978558.9,986073.42,993567.07,1001046.88,1008519.17,1015990.18,1023466.64,1030954.2,1038455.42,1045985.78,1053543.16,1061090.05,1068574.91,1075966.45,1083259.35,1090483.93,1097691.06,1104949.88,1112318.33,1119775.82,1127324.22,1135066.24,1143132.4,1151594.88,1160503.45,1169770.61,1179159.9,1188348.07,1197095.04,1205302.58,1213008.51,1220275.43,1227222.99,1233934.65,1240426.31,1246648.46,1252546.33,1258043.48,1263092.93
Middle-income countries,h,1517,Income Group,1802,1703596.5,1741085.98,1777129.45,1812536.18,1847972.59,1883962.08,1920879.34,1958956.18,1998297.69,2038909.81,2080780.92,2123969.95,2168682.16,2215302.64,2264302.83,2315967.49,2370446.71,2427505.36,2486550.07,2546750.64,2607460.63,2668544.34,2730038.16,2791686.82,2853239.06,2914555.44,2975473.55,3036109.38,3096965.5,3158747.65,3221987.82,3286643.4,3352592.42,3420161.36,3489732.22,3561445.88,3635556.83,3711631.32,3788266.47,3863575.84,3936198.98,4005573.52,4072033.69,4136227.35,4199219.91,4261803.63,4324146.72,4386018.45,4447358.48,4508010.38,4567891.01,4627061.1,4685694.64,4743954.18,4802039.8,4860123.82,4918213.04,4976355.79,5034805.7,5093871.45,5153738.18,5214491.63,5275972.51,5337803.62,5399458.15,5460515.59,5520843.44,5580422.65,5639084.2,5696667.31,5753051.62
Upper-middle-income countries,h,1502,Income Group,1517,938930.87,962815.77,984350.36,1004407.6,1023703.19,1042795.68,1062079.98,1081793.82,1102036.12,1122797.98,1144055.21,1165867.5,1188464.5,1212283.27,1237863.01,1265536.21,1295466.03,1327401.34,1360729.5,1394587.98,1428300.05,1461718.44,1494865.8,1527449.24,1559172.74,1589857.23,1619357.07,1647778.35,1675530.56,1703200.56,1731254.57,1759631.9,1788295.21,1817741.48,1848584.48,1881154.74,1915773.96,1952035.61,1988638.75,2023800.6,2056240.37,2085468.34,2111839.47,2135960.53,2158819.68,2181157.42,2203131.21,2224549,2245404.17,2265614.22,2285144.58,2304075.89,2322554.14,2340682.49,2358576.56,2376344.61,2393987.48,2411566.34,2429314.4,2447520.38,2466363.51,2485922.68,2506065.07,2526484.85,2546751.06,2566519.31,2585693.59,2604262.47,2622069.76,2638958.43,2654816.33
Lower-middle-income countries,h,1501,Income Group,1517,764665.63,778270.21,792779.09,808128.58,824269.4,841166.39,858799.36,877162.37,896261.57,916111.83,936725.71,958102.45,980217.67,1003019.38,1026439.82,1050431.28,1074980.68,1100104.03,1125820.57,1152162.66,1179160.58,1206825.9,1235172.36,1264237.58,1294066.32,1324698.21,1356116.49,1388331.03,1421434.94,1455547.09,1490733.25,1527011.51,1564297.21,1602419.88,1641147.74,1680291.13,1719782.87,1759595.71,1799627.72,1839775.24,1879958.61,1920105.18,1960194.22,2000266.82,2040400.23,2080646.21,2121015.51,2161469.45,2201954.3,2242396.16,2282746.43,2322985.21,2363140.5,2403271.68,2443463.24,2483779.21,2524225.56,2564789.45,2605491.3,2646351.07,2687374.67,2728568.95,2769907.44,2811318.78,2852707.09,2893996.28,2935149.85,2976160.19,3017014.45,3057708.88,3098235.28
Low-income countries,h,1500,Income Group,1802,137041.87,139118.85,141351.56,143768.5,146387.1,149213.77,152243.27,155459.34,158836.73,162344.22,165954.46,169654.33,173453.86,177390.31,181516.85,185870.73,190464.08,195281.27,200296.63,205471.92,210778.28,216209.48,221771.91,227463.97,233286.84,239242.4,245339.11,251579.53,257953.66,264447.33,271057.73,277785.34,284656.96,291729.93,299078.66,306762.09,314787.16,323153.69,331902.04,341076.96,350700.96,360816.17,371393.16,382295.65,393336.01,404386.61,415391.4,426409.4,437569.66,449060.76,461020.98,473477.93,486392.24,499752.27,513527.21,527685.62,542261.64,557248.25,572522.77,587921.34,603339.58,618725.58,634150.12,649783.54,665865.82,682575.7,699950.58,717952.43,736589.38,755849.74,775710.61
No income group available,,1518,Income Group,1802,803.55,825.62,846.92,868.47,891.18,915.47,941.56,969.2,997.96,1027.14,1056.11,1084.49,1112.37,1140.39,1169.38,1199.97,1232.85,1267.23,1300.78,1329.89,1352.52,1367.28,1375.76,1381.03,1388.05,1400.09,1418.54,1442.48,1470.13,1498.79,1526.54,1552.72,1578.25,1604.48,1633.57,1666.82,1704.84,1746.81,1790.85,1834.43,1875.68,1913.92,1949.88,1984.55,2019.61,2056.24,2094.46,2133.87,2174.87,2218.01,2263.48,2311.69,2362.07,2412.45,2459.99,2502.65,2539.78,2572,2600.3,2626.12,2650.79,2674.37,2696.82,2719.45,2743.81,2771.03,2801.61,2835.36,2871.2,2907.67,2943.57
Africa,j,903,Region,1840,227794.14,232327.86,237096.56,242092.46,247310.6,252748.92,258408.22,264292.21,270407.03,276760.72,283361.17,290214.47,297322.6,304683.37,312291.85,320147.3,328256.59,336631.18,345280.35,354214.82,363447.59,372983.51,382837.77,393044.44,403645.94,414674.68,426144.46,438054.81,450403.9,463183.56,476386.23,490003.91,504034.18,518479.76,533345.15,548626.14,564327.3,580424.29,596849.01,613512.11,630349.69,647344.04,664512.03,681869.33,699445.41,717270.11,735361.11,753737.58,772437.16,791504.17,810984.23,830902.54,851298.44,872248.34,893842.79,916154.29,939210.05,963021.84,987623.52,1013045.73,1039304.03,1066409.71,1094343.03,1123045.14,1152433.62,1182438.8,1213040.54,1244222.27,1275921.01,1308064.18,1340598.11
Asia,k,935,Region,1840,1404908.99,1435819.07,1464833.76,1492894.96,1520767.94,1549041.91,1578122.02,1608237.03,1639460.78,1671747.88,1705041.06,1739385.85,1775030.79,1812470.36,1852323.21,1894974.24,1940602.03,1988923.05,2039270.16,2090702.39,2142480.29,2194450.68,2246636.2,2298696.36,2350279.01,2401171.42,2451184.26,2500443.53,2549465.8,2598988.42,2649578.33,2701224.87,2753837.84,2807785.25,2863496.85,2921173.21,2981064.01,3042805.99,3105220.24,3166705.92,3226098.92,3282945.32,3337511.63,3390245.43,3441912.68,3493087,3543851.24,3594032.71,3643662.92,3692736.1,3741263.35,3789285.36,3836880.25,3884134.62,3931146.46,3977986.45,4024679.89,4071214.94,4117572.12,4163712.8,4209593.72,4255189.62,4300462.19,4345331.32,4389699.5,4433475.32,4476607.79,4519040.02,4560667.14,4601371.27,4641054.79
Europe,l,908,Region,1840,549328.86,554324.51,559694.36,565281.96,570969.74,576678.76,582371.32,588048.22,593743.36,599513.23,605406.97,611434.04,617536.17,623575.13,629367.17,634783.19,639761.94,644345.49,648636.12,652789.65,656919.37,661056.1,665163.51,669207.97,673132.24,676895.46,680497.66,683959.54,687285.86,690485.02,693566.52,696513.45,699330.02,702070.43,704807.48,707584.19,710422.13,713279.28,716056.66,718617.28,720858.41,722775.86,724390.03,725656.79,726529.36,726994.43,727020.29,726669.42,726141.84,725705.44,725558.03,725771.94,726312.06,727134.24,728149.84,729287.88,730546.85,731938.56,733416.48,734923.39,736413,737850.65,739225.17,740541.88,741818.28,743058.98,744268.79,745414.76,746419.44,747182.82,747636.05
Latin America and the Caribbean,m,904,Region,1840,168820.52,173280.49,177915.93,182708.88,187647.75,192727.23,197948.66,203319.93,208853.82,214566.1,220469.72,226567.97,232848.86,239282.57,245828.55,252455.93,259154.15,265925.62,272768.31,279684.29,286675.71,293738.01,300869.45,308078.65,315378.19,322777.15,330272.37,337860.35,345548.26,353344.98,361253.18,369274.51,377395.87,385586.59,393806.37,402023.66,410223.4,418404.11,426564.86,434709.75,442840.08,450946.52,459018.54,467054.73,475055.72,483018.23,490944.03,498821.72,506620.74,514301.36,521836.32,529213.16,536441.58,543544.13,550555.24,557500.98,564384.72,571201.89,577962.67,584677.53,591352.35,597994.7,604599.46,611143.94,617596.48,623934.13,630144.54,636233.13,642216.71,648120.96,653962.33
Northern America,n,905,Region,1840,172602.61,175016.59,177778.5,180813.19,184051.53,187430.41,190892.8,194387.68,197870.18,201301.49,204649.17,207887.2,210996.18,213963.48,216782.88,219454.16,221966.41,224327.31,226580.62,228786.68,230991.86,233213.54,235449.57,237703.02,239970.84,242251.5,244552.72,246882.3,249237.76,251613.7,254007.13,256418.9,258854,261318.32,263819.45,266363.43,268958.51,271606.62,274300.34,277028.16,279785.25,282552.4,285339.7,288205.11,291227.27,294453.53,297918.8,301582.34,305324.08,308977.74,312426.79,315615.99,318585.95,321432.41,324299.3,327287.14,330425.34,333668.49,336952.72,340182.41,343287.42,346251.16,349093.38,351824.04,354464.25,357031.05,359524.64,361942.25,364295.99,366600.94,368869.64
Oceania,o,909,Region,1840,12975.9,13265.72,13542.58,13817.61,14099.2,14392.69,14700.24,15020.99,15351.52,15686.73,16021.63,16354,16686.15,17026.04,17384.63,17768.69,18181.5,18617.46,19063.87,19503.14,19922.23,20318.2,20694.1,21050.08,21387.97,21710.28,22015.37,22305.4,22592.02,22890.51,23212.08,23560.99,23934.63,24328.85,24736.22,25151.04,25572.66,26001.72,26434.89,26868.22,27298.69,27725.24,28147.95,28566.2,28979.99,29389.63,29796.47,30201.87,30607.35,31014.22,31425.09,31837.55,32254.9,32691.41,33165.77,33690.21,34271.07,34900.93,35561.16,36225.14,36873.07,37498.33,38104.73,38695.74,39278.63,39858.69,40435.63,41006.48,41570.82,42128.05,42677.81
